Dani Alves;172;70;11;1001;3;1;0
Daniele Rugani;190;84;2;180;1;0;0
Paulo Dybala;177;75;10;797;4;1;0
Giorgio Chiellini;187;85;8;723;1;2;0
Mario Mandzukic;190;85;10;914;3;3;0
Alex Sandro;180;80;9;854;0;1;0
Miralem Pjanic;178;72;11;908;1;2;0
Gonzalo Higuaín;186;89;12;1039;5;1;0
Leonardo Bonucci;190;85;11;968;1;3;0
Patrice Evra;174;75;6;501;0;2;0
Neto;190;84;1;90;0;0;0
Gianluigi Buffon;192;92;12;1080;0;0;0
Claudio Marchisio;180;74;5;529;1;2;0
Hernanes;180;78;1;95;0;0;0
Marko Pjaca;186;85;0;94;1;0;0
Juan Cuadrado;179;72;6;586;1;2;1
Stephan Lichtsteiner;182;76;1;73;0;1;0
Andrea Barzagli;187;87;8;717;0;1;0
Medhi Benatia;189;94;2;183;0;0;0
Sami Khedira;189;90;11;895;0;3;0
Kwadwo Asamoah;173;75;2;160;0;0;0
Mario Lemina;184;85;3;270;0;1;1
Stefano Sturaro;181;80;1;139;0;1;0
Moise Kean;182;67;0;6;0;0;0
Tomás Rincón;177;76;0;30;0;0;0
